condition,model,dataset,split,prompt_format,input_type,target_modality,order,seed,n,correct,misled,neither,p_valid,selectivity,bert_gpt_agreement,n_parse_errors
none,Qwen/Qwen2.5-VL-32B-Instruct,mscoco,test,image_text,inconsistent,text,ciq,42,2000,1802,133,65,0.9675,0.862532,0.9305,0
none,Qwen/Qwen2.5-VL-32B-Instruct,mscoco,test,image_text,inconsistent,text,icq,42,2000,1873,118,9,0.9955,0.881467,0.93,0
none,Qwen/Qwen2.5-VL-32B-Instruct,mscoco,test,image_caption,text_only,text,icq,42,2000,2000,0,0,1.0,1.0,1.0,0
none,Qwen/Qwen2.5-VL-3B-Instruct,flickr30k,test,image_caption,image_only,image,icq,42,2000,1771,0,229,0.8855,1.0,0.797,0
none,Qwen/Qwen2.5-VL-3B-Instruct,flickr30k,test,image_caption,inconsistent,image,ciq,42,2000,1674,291,35,0.9825,0.703817,0.8695,0
none,Qwen/Qwen2.5-VL-3B-Instruct,flickr30k,test,image_caption,inconsistent,image,icq,42,2000,1882,117,1,0.9995,0.882941,0.941,0
none,Qwen/Qwen2.5-VL-3B-Instruct,flickr30k,test,image_caption,inconsistent,text,ciq,42,2000,1855,140,5,0.9975,0.859649,0.978,0
none,Qwen/Qwen2.5-VL-3B-Instruct,flickr30k,test,image_caption,inconsistent,text,icq,42,2000,1992,7,1,0.9995,0.992996,0.995,0
none,Qwen/Qwen2.5-VL-3B-Instruct,flickr30k,test,image_caption,text_only,text,icq,42,2000,1994,0,6,0.997,1.0,0.9945,0
none,Qwen/Qwen2.5-VL-3B-Instruct,mscoco,test,image_caption,image_only,image,icq,42,2000,1914,0,86,0.957,1.0,0.9345,0
none,Qwen/Qwen2.5-VL-3B-Instruct,mscoco,test,image_caption,inconsistent,image,ciq,42,2000,1852,139,9,0.9955,0.860372,0.9405,0
none,Qwen/Qwen2.5-VL-3B-Instruct,mscoco,test,image_caption,inconsistent,image,icq,42,2000,1970,30,0,1.0,0.97,0.9795,0
none,Qwen/Qwen2.5-VL-3B-Instruct,mscoco,test,image_caption,inconsistent,text,ciq,42,2000,1642,348,10,0.995,0.650251,0.9785,0
none,Qwen/Qwen2.5-VL-3B-Instruct,mscoco,test,image_caption,inconsistent,text,icq,42,2000,1965,30,5,0.9975,0.969925,0.988,0
none,Qwen/Qwen2.5-VL-3B-Instruct,mscoco,test,image_caption,text_only,text,icq,42,2000,1998,0,2,0.999,1.0,0.9975,0
none,Qwen/Qwen2.5-VL-7B-Instruct,flickr30k,test,image_caption,image_only,image,icq,42,2000,1871,0,129,0.9355,1.0,0.8175,0
none,Qwen/Qwen2.5-VL-7B-Instruct,flickr30k,test,image_caption,inconsistent,image,ciq,42,2000,1740,216,44,0.978,0.779141,0.7825,0
none,Qwen/Qwen2.5-VL-7B-Instruct,flickr30k,test,image_caption,inconsistent,image,icq,42,2000,1978,21,1,0.9995,0.978989,0.8735,0
none,Qwen/Qwen2.5-VL-7B-Instruct,flickr30k,test,image_caption,inconsistent,text,ciq,42,2000,1951,41,8,0.996,0.958835,0.95,0
none,Qwen/Qwen2.5-VL-7B-Instruct,flickr30k,test,image_caption,inconsistent,text,icq,42,2000,1114,878,8,0.996,0.118474,0.5745,0
none,Qwen/Qwen2.5-VL-7B-Instruct,flickr30k,test,image_caption,text_only,text,icq,42,2000,1999,0,1,0.9995,1.0,0.9995,0
none,Qwen/Qwen2.5-VL-7B-Instruct,mscoco,test,image_caption,image_only,image,icq,42,2000,1931,0,69,0.9655,1.0,0.9275,0
none,Qwen/Qwen2.5-VL-7B-Instruct,mscoco,test,image_caption,inconsistent,image,ciq,42,2000,1838,148,14,0.993,0.850957,0.9245,0
none,Qwen/Qwen2.5-VL-7B-Instruct,mscoco,test,image_caption,inconsistent,image,icq,42,2000,1983,17,0,1.0,0.983,0.8945,0
none,Qwen/Qwen2.5-VL-7B-Instruct,mscoco,test,image_caption,inconsistent,text,ciq,42,2000,1975,20,5,0.9975,0.97995,0.983,0
none,Qwen/Qwen2.5-VL-7B-Instruct,mscoco,test,image_caption,inconsistent,text,icq,42,2000,1228,748,24,0.988,0.242915,0.6125,0
none,Qwen/Qwen2.5-VL-7B-Instruct,mscoco,test,image_caption,text_only,text,icq,42,2000,1995,0,5,0.9975,1.0,0.9975,0
none,Salesforce/instructblip-vicuna-7b,flickr30k,test,image_caption,image_only,image,icq,42,2000,1825,0,175,0.9125,1.0,0.5825,0
none,Salesforce/instructblip-vicuna-7b,flickr30k,test,image_caption,inconsistent,image,ciq,42,2000,403,1551,46,0.977,-0.587513,0.743,0
none,Salesforce/instructblip-vicuna-7b,flickr30k,test,image_caption,inconsistent,image,icq,42,2000,404,1547,49,0.9755,-0.585853,0.7455,0
none,Salesforce/instructblip-vicuna-7b,flickr30k,test,image_caption,inconsistent,text,ciq,42,2000,983,876,141,0.9295,0.057558,0.39,0
none,Salesforce/instructblip-vicuna-7b,flickr30k,test,image_caption,inconsistent,text,icq,42,2000,985,877,138,0.931,0.058002,0.3895,0
none,Salesforce/instructblip-vicuna-7b,flickr30k,test,image_caption,text_only,text,icq,42,2000,1716,0,284,0.858,1.0,0.9425,0
none,Salesforce/instructblip-vicuna-7b,mscoco,test,image_caption,image_only,image,icq,42,2000,1908,0,92,0.954,1.0,0.783,0
none,Salesforce/instructblip-vicuna-7b,mscoco,test,image_caption,inconsistent,image,ciq,42,2000,551,1430,19,0.9905,-0.443715,0.8845,0
none,Salesforce/instructblip-vicuna-7b,mscoco,test,image_caption,inconsistent,image,icq,42,2000,551,1427,22,0.989,-0.442872,0.889,0
none,Salesforce/instructblip-vicuna-7b,mscoco,test,image_caption,inconsistent,text,ciq,42,2000,884,858,258,0.871,0.014925,0.545,0
none,Salesforce/instructblip-vicuna-7b,mscoco,test,image_caption,inconsistent,text,icq,42,2000,885,865,250,0.875,0.011429,0.5415,0
none,Salesforce/instructblip-vicuna-7b,mscoco,test,image_caption,text_only,text,icq,42,2000,1739,0,261,0.8695,1.0,0.944,0
none,google/gemma-3-12b-it,flickr30k,test,image_caption,image_only,image,icq,42,2000,1869,0,131,0.9345,1.0,0.937,0
